employeeRef,reasonCode,monthRaw,dayRaw,hoursRaw,ageRaw,serviceYears,disciplinary,hitTarget,workload
11.0,22.0,1.0,5.0,3.0,33.0,13.0,0.0,95.0,308.593
27.0,23.0,2.0,6.0,1.0,27.0,7.0,0.0,99.0,302.585
24.0,1.0,2.0,4.0,8.0,41.0,16.0,0.0,99.0,302.585
3.0,11.0,2.0,4.0,8.0,38.0,18.0,0.0,99.0,302.585
14.0,28.0,2.0,5.0,2.0,34.0,14.0,0.0,99.0,302.585
6.0,23.0,2.0,5.0,8.0,33.0,13.0,0.0,99.0,302.585
20.0,28.0,2.0,6.0,2.0,36.0,11.0,0.0,99.0,302.585
11.0,22.0,2.0,6.0,8.0,33.0,13.0,0.0,99.0,302.585
31.0,11.0,2.0,2.0,8.0,50.0,9.0,0.0,99.0,302.585
31.0,1.0,2.0,3.0,8.0,50.0,9.0,0.0,99.0,302.585
28.0,28.0,2.0,2.0,2.0,28.0,9.0,0.0,99.0,302.585
28.0,23.0,2.0,3.0,2.0,28.0,9.0,0.0,99.0,302.585
22.0,23.0,2.0,3.0,1.0,30.0,9.0,0.0,99.0,302.585
27.0,23.0,2.0,3.0,8.0,27.0,7.0,0.0,99.0,302.585
28.0,25.0,2.0,5.0,3.0,28.0,9.0,0.0,99.0,302.585
18.0,18.0,2.0,2.0,8.0,28.0,4.0,0.0,99.0,302.585
18.0,23.0,2.0,3.0,1.0,28.0,4.0,0.0,99.0,302.585
28.0,23.0,2.0,4.0,1.0,28.0,9.0,0.0,99.0,302.585
6.0,19.0,2.0,5.0,8.0,33.0,13.0,0.0,99.0,302.585
19.0,28.0,3.0,3.0,2.0,32.0,12.0,0.0,95.0,343.253
20.0,19.0,3.0,3.0,8.0,36.0,11.0,0.0,95.0,343.253
30.0,19.0,3.0,3.0,3.0,29.0,6.0,0.0,95.0,343.253
17.0,17.0,3.0,3.0,8.0,40.0,17.0,0.0,95.0,343.253
15.0,22.0,3.0,4.0,8.0,40.0,12.0,0.0,95.0,343.253
20.0,13.0,3.0,4.0,8.0,36.0,11.0,0.0,95.0,343.253
22.0,13.0,3.0,5.0,8.0,30.0,9.0,0.0,95.0,343.253
33.0,14.0,3.0,6.0,3.0,47.0,14.0,0.0,95.0,343.253
20.0,13.0,3.0,6.0,40.0,36.0,11.0,0.0,95.0,343.253
17.0,11.0,3.0,2.0,40.0,40.0,17.0,0.0,95.0,343.253
14.0,1.0,3.0,2.0,16.0,34.0,14.0,0.0,95.0,343.253
20.0,26.0,3.0,2.0,16.0,36.0,11.0,0.0,95.0,343.253
14.0,13.0,3.0,3.0,8.0,34.0,14.0,0.0,95.0,343.253
11.0,6.0,3.0,5.0,8.0,33.0,13.0,0.0,95.0,343.253
17.0,8.0,3.0,5.0,8.0,40.0,17.0,0.0,95.0,343.253
20.0,28.0,3.0,6.0,4.0,36.0,11.0,0.0,95.0,343.253
28.0,23.0,3.0,6.0,1.0,28.0,9.0,0.0,95.0,343.253
7.0,14.0,3.0,2.0,8.0,39.0,14.0,0.0,95.0,343.253
3.0,13.0,3.0,3.0,24.0,38.0,18.0,0.0,95.0,343.253
28.0,23.0,3.0,4.0,2.0,28.0,9.0,0.0,95.0,343.253
28.0,11.0,3.0,2.0,8.0,28.0,9.0,0.0,95.0,343.253
22.0,13.0,3.0,2.0,1.0,30.0,9.0,0.0,95.0,343.253
28.0,11.0,3.0,3.0,8.0,28.0,9.0,0.0,95.0,343.253
28.0,11.0,3.0,4.0,16.0,28.0,9.0,0.0,95.0,343.253
3.0,13.0,3.0,4.0,3.0,38.0,18.0,0.0,95.0,343.253
7.0,14.0,3.0,5.0,16.0,39.0,14.0,0.0,95.0,343.253
28.0,28.0,3.0,6.0,2.0,28.0,9.0,0.0,95.0,343.253
33.0,14.0,3.0,6.0,3.0,47.0,14.0,0.0,95.0,343.253
28.0,28.0,3.0,2.0,1.0,28.0,9.0,0.0,95.0,343.253
15.0,28.0,4.0,4.0,1.0,40.0,12.0,0.0,96.0,326.452
28.0,23.0,4.0,4.0,1.0,28.0,9.0,0.0,96.0,326.452
14.0,28.0,4.0,3.0,1.0,34.0,14.0,0.0,96.0,326.452
24.0,13.0,4.0,4.0,24.0,41.0,16.0,0.0,96.0,326.452
14.0,23.0,4.0,5.0,1.0,34.0,14.0,0.0,96.0,326.452
28.0,28.0,4.0,6.0,2.0,28.0,9.0,0.0,96.0,326.452
20.0,28.0,4.0,6.0,4.0,36.0,11.0,0.0,96.0,326.452
3.0,13.0,4.0,4.0,24.0,38.0,18.0,0.0,96.0,326.452
36.0,23.0,4.0,5.0,1.0,50.0,18.0,0.0,96.0,326.452
15.0,23.0,4.0,6.0,3.0,40.0,12.0,0.0,96.0,326.452
24.0,14.0,4.0,6.0,8.0,41.0,16.0,0.0,96.0,326.452
15.0,28.0,4.0,6.0,1.0,40.0,12.0,0.0,96.0,326.452
33.0,28.0,4.0,6.0,8.0,47.0,14.0,0.0,96.0,326.452
20.0,19.0,4.0,6.0,56.0,36.0,11.0,0.0,96.0,326.452
11.0,19.0,4.0,3.0,8.0,33.0,13.0,0.0,96.0,326.452
14.0,12.0,4.0,4.0,24.0,34.0,14.0,0.0,96.0,326.452
23.0,19.0,4.0,4.0,8.0,36.0,11.0,0.0,96.0,326.452
11.0,13.0,4.0,5.0,16.0,33.0,13.0,0.0,96.0,326.452
1.0,7.0,4.0,6.0,3.0,37.0,14.0,0.0,96.0,326.452
2.0,0.0,4.0,2.0,0.0,48.0,12.0,1.0,96.0,326.452
11.0,13.0,5.0,4.0,8.0,33.0,13.0,0.0,92.0,378.884
14.0,28.0,5.0,5.0,2.0,34.0,14.0,0.0,92.0,378.884
14.0,28.0,5.0,2.0,1.0,34.0,14.0,0.0,92.0,378.884
3.0,18.0,5.0,3.0,8.0,38.0,18.0,0.0,92.0,378.884
28.0,19.0,5.0,3.0,8.0,28.0,9.0,0.0,92.0,378.884
27.0,7.0,5.0,4.0,4.0,27.0,7.0,0.0,92.0,378.884
14.0,28.0,5.0,2.0,2.0,34.0,14.0,0.0,92.0,378.884
3.0,12.0,5.0,3.0,1.0,38.0,18.0,0.0,92.0,378.884
11.0,13.0,5.0,4.0,24.0,33.0,13.0,0.0,92.0,378.884
7.0,0.0,5.0,4.0,0.0,39.0,14.0,1.0,92.0,378.884
18.0,0.0,5.0,4.0,0.0,28.0,4.0,1.0,92.0,378.884
23.0,0.0,5.0,4.0,0.0,36.0,11.0,1.0,92.0,378.884
31.0,0.0,5.0,4.0,0.0,50.0,9.0,1.0,92.0,378.884
3.0,11.0,5.0,3.0,1.0,38.0,18.0,0.0,92.0,378.884
36.0,13.0,5.0,4.0,24.0,50.0,18.0,0.0,92.0,378.884
10.0,22.0,5.0,6.0,8.0,28.0,3.0,0.0,92.0,378.884
24.0,19.0,6.0,2.0,8.0,41.0,16.0,0.0,94.0,377.55
10.0,22.0,6.0,2.0,8.0,28.0,3.0,0.0,94.0,377.55
24.0,10.0,6.0,3.0,24.0,41.0,16.0,0.0,94.0,377.55
15.0,23.0,6.0,5.0,4.0,40.0,12.0,0.0,94.0,377.55
24.0,10.0,6.0,6.0,8.0,41.0,16.0,0.0,94.0,377.55
3.0,11.0,6.0,2.0,8.0,38.0,18.0,0.0,94.0,377.55
14.0,23.0,6.0,2.0,4.0,34.0,14.0,0.0,94.0,377.55
24.0,10.0,6.0,2.0,8.0,41.0,16.0,0.0,94.0,377.55
36.0,13.0,6.0,4.0,8.0,50.0,18.0,0.0,94.0,377.55
1.0,13.0,6.0,6.0,16.0,37.0,14.0,0.0,94.0,377.55
36.0,23.0,6.0,3.0,1.0,50.0,18.0,0.0,94.0,377.55
36.0,13.0,6.0,4.0,80.0,50.0,18.0,0.0,94.0,377.55
23.0,22.0,6.0,5.0,8.0,36.0,11.0,0.0,94.0,377.55
3.0,11.0,6.0,6.0,2.0,38.0,18.0,0.0,94.0,377.55
32.0,28.0,6.0,2.0,2.0,49.0,29.0,0.0,94.0,377.55
28.0,28.0,6.0,5.0,2.0,28.0,9.0,0.0,94.0,377.55
14.0,19.0,7.0,3.0,16.0,34.0,14.0,0.0,98.0,275.312
36.0,1.0,7.0,4.0,8.0,50.0,18.0,0.0,98.0,275.312
34.0,5.0,7.0,6.0,8.0,37.0,10.0,0.0,98.0,275.312
34.0,26.0,7.0,6.0,4.0,37.0,10.0,0.0,98.0,275.312
18.0,26.0,7.0,3.0,8.0,28.0,4.0,0.0,98.0,275.312
22.0,18.0,7.0,5.0,8.0,30.0,9.0,0.0,98.0,275.312
14.0,25.0,7.0,6.0,2.0,34.0,14.0,0.0,98.0,275.312
18.0,1.0,7.0,2.0,8.0,28.0,4.0,0.0,98.0,275.312
18.0,1.0,7.0,3.0,8.0,28.0,4.0,0.0,98.0,275.312
30.0,25.0,7.0,2.0,3.0,29.0,6.0,0.0,98.0,275.312
10.0,22.0,7.0,3.0,8.0,28.0,3.0,0.0,98.0,275.312
11.0,26.0,7.0,4.0,8.0,33.0,13.0,0.0,98.0,275.312
3.0,26.0,7.0,5.0,8.0,38.0,18.0,0.0,98.0,275.312
11.0,19.0,7.0,2.0,32.0,33.0,13.0,0.0,98.0,275.312
11.0,19.0,7.0,5.0,8.0,33.0,13.0,0.0,98.0,275.312
20.0,0.0,7.0,5.0,0.0,36.0,11.0,1.0,98.0,275.312
11.0,19.0,8.0,6.0,8.0,33.0,13.0,0.0,94.0,265.615
30.0,19.0,8.0,6.0,3.0,29.0,6.0,0.0,94.0,265.615
11.0,23.0,8.0,2.0,1.0,33.0,13.0,0.0,94.0,265.615
9.0,18.0,8.0,3.0,8.0,58.0,16.0,0.0,94.0,265.615
26.0,13.0,8.0,5.0,1.0,43.0,13.0,0.0,94.0,265.615
26.0,14.0,8.0,5.0,2.0,43.0,13.0,0.0,94.0,265.615
20.0,28.0,8.0,6.0,4.0,36.0,11.0,0.0,94.0,265.615
11.0,23.0,8.0,3.0,4.0,33.0,13.0,0.0,94.0,265.615
33.0,23.0,8.0,4.0,1.0,47.0,14.0,0.0,94.0,265.615
21.0,11.0,8.0,5.0,8.0,33.0,8.0,0.0,94.0,265.615
22.0,23.0,8.0,5.0,1.0,30.0,9.0,0.0,94.0,265.615
36.0,13.0,8.0,5.0,3.0,50.0,18.0,0.0,94.0,265.615
33.0,25.0,8.0,2.0,2.0,47.0,14.0,0.0,94.0,265.615
1.0,23.0,8.0,3.0,1.0,37.0,14.0,0.0,94.0,265.615
36.0,23.0,8.0,5.0,1.0,50.0,18.0,0.0,94.0,265.615
1.0,19.0,8.0,5.0,8.0,37.0,14.0,0.0,94.0,265.615
10.0,8.0,8.0,3.0,8.0,28.0,3.0,0.0,94.0,265.615
27.0,6.0,8.0,4.0,8.0,27.0,7.0,0.0,94.0,265.615
3.0,11.0,9.0,2.0,8.0,38.0,18.0,0.0,81.0,294.217
3.0,23.0,9.0,6.0,3.0,38.0,18.0,0.0,81.0,294.217
11.0,19.0,9.0,4.0,24.0,33.0,13.0,0.0,81.0,294.217
5.0,0.0,9.0,5.0,0.0,43.0,13.0,1.0,81.0,294.217
24.0,9.0,9.0,2.0,16.0,41.0,16.0,0.0,81.0,294.217
15.0,28.0,9.0,3.0,3.0,40.0,12.0,0.0,81.0,294.217
8.0,0.0,9.0,3.0,0.0,39.0,14.0,1.0,81.0,294.217
19.0,0.0,9.0,3.0,0.0,32.0,12.0,1.0,81.0,294.217
3.0,13.0,9.0,4.0,8.0,38.0,18.0,0.0,81.0,294.217
24.0,9.0,9.0,4.0,32.0,41.0,16.0,0.0,81.0,294.217
3.0,23.0,9.0,5.0,1.0,38.0,18.0,0.0,81.0,294.217
15.0,28.0,9.0,6.0,4.0,40.0,12.0,0.0,81.0,294.217
20.0,28.0,9.0,6.0,4.0,36.0,11.0,0.0,81.0,294.217
5.0,26.0,9.0,4.0,8.0,43.0,13.0,0.0,81.0,294.217
36.0,28.0,9.0,5.0,1.0,50.0,18.0,0.0,81.0,294.217
5.0,0.0,9.0,5.0,0.0,43.0,13.0,1.0,81.0,294.217
15.0,28.0,9.0,6.0,3.0,40.0,12.0,0.0,81.0,294.217
15.0,7.0,9.0,2.0,40.0,40.0,12.0,0.0,81.0,294.217
3.0,13.0,9.0,2.0,8.0,38.0,18.0,0.0,81.0,294.217
11.0,24.0,10.0,2.0,8.0,33.0,13.0,0.0,88.0,265.017
1.0,26.0,10.0,2.0,4.0,37.0,14.0,0.0,88.0,265.017
11.0,26.0,10.0,2.0,8.0,33.0,13.0,0.0,88.0,265.017
11.0,22.0,10.0,6.0,8.0,33.0,13.0,0.0,88.0,265.017
36.0,0.0,10.0,6.0,0.0,50.0,18.0,1.0,88.0,265.017
33.0,0.0,10.0,6.0,0.0,47.0,14.0,1.0,88.0,265.017
22.0,1.0,10.0,2.0,8.0,30.0,9.0,0.0,88.0,265.017
34.0,7.0,10.0,2.0,3.0,37.0,10.0,0.0,88.0,265.017
13.0,22.0,10.0,2.0,8.0,31.0,12.0,0.0,88.0,265.017
3.0,28.0,10.0,4.0,1.0,38.0,18.0,0.0,88.0,265.017
22.0,1.0,10.0,4.0,64.0,30.0,9.0,0.0,88.0,265.017
5.0,0.0,10.0,4.0,0.0,43.0,13.0,1.0,88.0,265.017
11.0,19.0,10.0,5.0,16.0,33.0,13.0,0.0,88.0,265.017
20.0,28.0,10.0,6.0,3.0,36.0,11.0,0.0,88.0,265.017
5.0,0.0,10.0,6.0,0.0,43.0,13.0,1.0,88.0,265.017
5.0,23.0,10.0,2.0,2.0,43.0,13.0,0.0,88.0,265.017
5.0,23.0,10.0,2.0,2.0,43.0,13.0,0.0,88.0,265.017
36.0,28.0,10.0,3.0,1.0,50.0,18.0,0.0,88.0,265.017
15.0,28.0,10.0,3.0,4.0,40.0,12.0,0.0,88.0,265.017
22.0,23.0,10.0,5.0,16.0,30.0,9.0,0.0,88.0,265.017
36.0,28.0,10.0,5.0,1.0,50.0,18.0,0.0,88.0,265.017
10.0,10.0,10.0,2.0,8.0,28.0,3.0,0.0,88.0,265.017
20.0,0.0,10.0,3.0,0.0,36.0,11.0,1.0,88.0,265.017
15.0,0.0,10.0,3.0,0.0,40.0,12.0,1.0,88.0,265.017
30.0,0.0,10.0,3.0,0.0,29.0,6.0,1.0,88.0,265.017
22.0,1.0,10.0,4.0,5.0,30.0,9.0,0.0,88.0,265.017
22.0,7.0,10.0,4.0,5.0,30.0,9.0,0.0,88.0,265.017
36.0,23.0,10.0,5.0,1.0,50.0,18.0,0.0,88.0,265.017
34.0,11.0,11.0,2.0,8.0,37.0,10.0,0.0,97.0,284.031
33.0,23.0,11.0,2.0,2.0,47.0,14.0,0.0,97.0,284.031
3.0,6.0,11.0,3.0,8.0,38.0,18.0,0.0,97.0,284.031
20.0,28.0,11.0,6.0,3.0,36.0,11.0,0.0,97.0,284.031
15.0,23.0,11.0,2.0,1.0,40.0,12.0,0.0,97.0,284.031
23.0,1.0,11.0,2.0,8.0,36.0,11.0,0.0,97.0,284.031
14.0,11.0,11.0,2.0,120.0,34.0,14.0,0.0,97.0,284.031
5.0,26.0,11.0,2.0,8.0,43.0,13.0,0.0,97.0,284.031
18.0,0.0,11.0,3.0,0.0,28.0,4.0,1.0,97.0,284.031
1.0,18.0,11.0,4.0,1.0,37.0,14.0,0.0,97.0,284.031
34.0,11.0,11.0,4.0,3.0,37.0,10.0,0.0,97.0,284.031
1.0,25.0,11.0,5.0,2.0,37.0,14.0,0.0,97.0,284.031
3.0,28.0,11.0,5.0,3.0,38.0,18.0,0.0,97.0,284.031
24.0,13.0,11.0,6.0,8.0,41.0,16.0,0.0,97.0,284.031
15.0,12.0,11.0,6.0,4.0,40.0,12.0,0.0,97.0,284.031
24.0,13.0,11.0,2.0,8.0,41.0,16.0,0.0,97.0,284.031
3.0,28.0,11.0,3.0,1.0,38.0,18.0,0.0,97.0,284.031
20.0,10.0,11.0,4.0,8.0,36.0,11.0,0.0,97.0,284.031
20.0,15.0,11.0,6.0,8.0,36.0,11.0,0.0,97.0,284.031
23.0,0.0,11.0,6.0,0.0,36.0,11.0,1.0,97.0,284.031
7.0,0.0,11.0,3.0,0.0,39.0,14.0,1.0,97.0,284.031
3.0,23.0,11.0,5.0,1.0,38.0,18.0,0.0,97.0,284.031
28.0,12.0,12.0,2.0,3.0,28.0,9.0,0.0,93.0,236.629
3.0,28.0,12.0,2.0,2.0,38.0,18.0,0.0,93.0,236.629
3.0,28.0,12.0,2.0,1.0,38.0,18.0,0.0,93.0,236.629
1.0,23.0,12.0,2.0,3.0,37.0,14.0,0.0,93.0,236.629
36.0,28.0,12.0,3.0,1.0,50.0,18.0,0.0,93.0,236.629
20.0,28.0,12.0,6.0,4.0,36.0,11.0,0.0,93.0,236.629
24.0,4.0,12.0,5.0,8.0,41.0,16.0,0.0,93.0,236.629
3.0,28.0,12.0,5.0,1.0,38.0,18.0,0.0,93.0,236.629
