department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Health & Safety,Sick Leave,1,11,4,7,28,108,87.7,Approved
Health & Safety,Sick Leave,1,11,4,10,36,132,90.3,Approved
Health & Safety,Sick Leave,1,11,0,1,47,168,78.1,Approved
Health & Safety,Sick Leave,1,11,1,8,28,108,79.8,Approved
Health & Safety,Sick Leave,3,11,2,6,33,156,86.3,Rejected
Health & Safety,Sick Leave,1,11,3,6,40,144,81.8,Rejected
Health & Safety,Sick Leave,1,12,1,2,47,168,75.1,Approved
Administration,Casual Leave,8,12,1,1,37,120,86.1,Rejected
Health & Safety,Sick Leave,1,12,2,0,50,216,82.4,Approved
Administration,Casual Leave,1,12,2,0,37,168,91.1,Approved
Health & Safety,Sick Leave,1,12,3,9,28,108,81.8,Approved
Administration,Casual Leave,1,12,4,11,36,132,88.8,Rejected
Administration,Casual Leave,7,12,1,1,37,120,85.6,Approved
Health & Safety,Sick Leave,1,12,2,4,28,36,95.9,Approved
Health & Safety,Sick Leave,1,12,3,10,28,108,97.3,Approved
Health & Safety,Sick Leave,1,12,4,11,36,132,86.8,Rejected
Health & Safety,Sick Leave,1,12,1,11,28,108,92.1,Approved
Administration,Casual Leave,1,12,4,2,37,120,94.5,Approved
Administration,Casual Leave,1,12,4,1,41,192,87.9,Rejected
Health & Safety,Sick Leave,1,12,4,12,28,108,91.8,Rejected
Health & Safety,Sick Leave,1,1,2,0,28,108,84.2,Approved
Administration,Casual Leave,1,1,0,0,37,120,95.2,Approved
Administration,Casual Leave,1,1,1,1,37,120,92.0,Approved
Operations,Annual Leave,1,1,1,0,34,168,91.2,Approved
Administration,Casual Leave,1,1,2,1,28,108,92.5,Approved
Health & Safety,Sick Leave,1,1,3,0,27,84,88.2,Approved
Health & Safety,Sick Leave,1,1,3,2,28,108,91.2,Approved
Administration,Casual Leave,1,1,4,3,28,108,86.1,Approved
Administration,Casual Leave,1,1,0,2,37,120,94.5,Approved
Administration,Casual Leave,1,1,1,4,28,108,94.0,Approved
Administration,Casual Leave,1,1,1,3,37,120,91.8,Approved
Administration,Casual Leave,1,1,2,4,37,120,95.4,Approved
Administration,Casual Leave,1,1,3,5,37,120,78.4,Approved
Administration,Casual Leave,1,1,4,6,37,120,90.7,Approved
Operations,Annual Leave,1,1,1,0,30,108,90.8,Rejected
Operations,Annual Leave,1,1,1,0,33,156,99.3,Approved
Administration,Casual Leave,1,1,0,7,37,120,91.7,Rejected
Health & Safety,Sick Leave,1,1,1,5,28,108,87.3,Approved
Health & Safety,Sick Leave,1,1,3,1,33,156,86.3,Approved
Health & Safety,Sick Leave,1,2,4,1,27,84,93.6,Rejected
Health & Safety,Sick Leave,1,2,2,0,41,192,94.4,Approved
Health & Safety,Sick Leave,1,2,2,0,38,216,97.3,Approved
Health & Safety,Sick Leave,1,2,3,1,34,168,94.0,Approved
Health & Safety,Sick Leave,1,2,3,0,33,156,90.5,Rejected
Health & Safety,Sick Leave,1,2,4,0,36,132,86.8,Approved
Health & Safety,Sick Leave,1,2,4,2,33,156,70.2,Approved
Health & Safety,Sick Leave,1,2,0,0,50,108,86.0,Approved
Health & Safety,Sick Leave,1,2,1,1,50,108,84.4,Approved
Health & Safety,Sick Leave,1,2,0,6,28,108,88.9,Approved
Health & Safety,Sick Leave,1,2,1,7,28,108,92.2,Approved
Health & Safety,Sick Leave,1,2,1,0,30,108,89.3,Approved
Health & Safety,Sick Leave,1,2,1,1,27,84,85.0,Approved
Health & Safety,Sick Leave,1,2,3,8,28,108,80.7,Approved
Operations,Annual Leave,1,2,0,0,28,48,86.9,Approved
Health & Safety,Sick Leave,1,2,1,1,28,48,81.3,Approved
Health & Safety,Sick Leave,1,2,2,9,28,108,81.9,Approved
Administration,Casual Leave,1,2,3,0,33,156,88.9,Approved
Health & Safety,Sick Leave,1,3,1,0,32,144,95.0,Approved
Administration,Casual Leave,1,3,1,1,36,132,93.1,Approved
Administration,Casual Leave,1,3,1,0,29,72,86.0,Approved
Operations,Annual Leave,1,3,1,0,40,204,96.8,Approved
Health & Safety,Sick Leave,1,3,2,0,40,144,84.1,Approved
Health & Safety,Sick Leave,1,3,2,2,36,132,81.8,Approved
Health & Safety,Sick Leave,1,3,3,1,30,108,84.9,Approved
Health & Safety,Sick Leave,1,3,4,0,47,168,91.7,Approved
Health & Safety,Sick Leave,5,3,4,3,36,132,89.0,Approved
Health & Safety,Sick Leave,5,3,0,1,40,204,83.9,Approved
Health & Safety,Sick Leave,2,3,0,2,34,168,90.0,Rejected
Administration,Casual Leave,2,3,0,4,36,132,94.0,Approved
Health & Safety,Sick Leave,1,3,1,2,34,168,86.0,Approved
Health & Safety,Sick Leave,1,3,3,3,33,156,91.1,Approved
Health & Safety,Sick Leave,1,3,3,2,40,204,85.8,Approved
Health & Safety,Sick Leave,1,3,4,5,36,132,100.0,Rejected
Health & Safety,Sick Leave,1,3,4,10,28,108,89.3,Rejected
Health & Safety,Sick Leave,1,3,0,0,39,168,81.0,Approved
Health & Safety,Sick Leave,3,3,1,1,38,216,87.1,Approved
Health & Safety,Sick Leave,1,3,2,10,28,108,100.0,Approved
Health & Safety,Sick Leave,1,3,0,11,28,108,86.2,Rejected
Health & Safety,Sick Leave,1,3,0,2,30,108,98.0,Approved
Health & Safety,Sick Leave,1,3,1,11,28,108,84.5,Approved
Health & Safety,Sick Leave,2,3,2,12,28,108,81.1,Rejected
Health & Safety,Sick Leave,1,3,2,2,38,216,92.6,Approved
Health & Safety,Sick Leave,2,3,3,1,39,168,91.8,Rejected
Health & Safety,Sick Leave,1,3,4,12,28,108,78.0,Rejected
Health & Safety,Sick Leave,1,3,4,1,47,168,80.6,Approved
Health & Safety,Sick Leave,1,3,0,12,28,108,89.1,Rejected
Health & Safety,Sick Leave,1,4,2,1,40,144,90.9,Approved
Health & Safety,Sick Leave,1,4,2,12,28,108,80.2,Rejected
Health & Safety,Sick Leave,1,4,1,3,34,168,87.5,Approved
Health & Safety,Sick Leave,3,4,2,1,41,192,86.3,Rejected
Health & Safety,Sick Leave,1,4,3,4,34,168,75.7,Approved
Health & Safety,Sick Leave,1,4,4,12,28,108,88.3,Approved
Health & Safety,Sick Leave,1,4,4,5,36,132,92.6,Approved
Health & Safety,Sick Leave,3,4,2,3,38,216,88.5,Rejected
Health & Safety,Sick Leave,1,4,3,0,50,216,88.7,Approved
Health & Safety,Sick Leave,1,4,4,2,40,144,85.6,Approved
Health & Safety,Sick Leave,1,4,4,1,41,192,93.2,Approved
Health & Safety,Sick Leave,1,4,4,3,40,144,87.5,Approved
Health & Safety,Sick Leave,1,4,4,2,47,168,92.0,Rejected
Administration,Casual Leave,7,4,4,6,36,132,85.9,Rejected
Administration,Casual Leave,1,4,1,4,33,156,83.6,Approved
Health & Safety,Sick Leave,3,4,2,5,34,168,83.7,Approved
Administration,Casual Leave,1,4,2,0,36,132,97.0,Approved
Health & Safety,Sick Leave,2,4,3,5,33,156,87.9,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,99.4,Rejected
Administration,Casual Leave,1,4,0,0,48,144,92.2,Rejected
Health & Safety,Sick Leave,1,5,2,6,33,156,80.7,Approved
Health & Safety,Sick Leave,1,5,3,6,34,168,80.6,Rejected
Health & Safety,Sick Leave,1,5,0,6,34,168,86.9,Approved
Operations,Annual Leave,1,5,1,3,38,216,89.7,Approved
Administration,Casual Leave,1,5,1,13,28,108,87.8,Approved
Health & Safety,Sick Leave,1,5,2,2,27,84,79.5,Approved
Health & Safety,Sick Leave,1,5,0,7,34,168,76.2,Approved
Health & Safety,Sick Leave,1,5,1,4,38,216,85.5,Approved
Health & Safety,Sick Leave,3,5,2,7,33,156,81.2,Approved
Administration,Casual Leave,1,5,2,1,39,168,94.2,Rejected
Administration,Casual Leave,1,5,2,2,28,48,84.9,Rejected
Administration,Casual Leave,1,5,2,1,36,132,96.1,Rejected
Administration,Casual Leave,1,5,2,2,50,108,91.0,Rejected
Health & Safety,Sick Leave,1,5,1,5,38,216,87.4,Approved
Health & Safety,Sick Leave,3,5,2,1,50,216,87.3,Approved
Health & Safety,Sick Leave,1,5,4,0,28,36,91.7,Approved
Administration,Casual Leave,1,6,0,2,41,192,87.7,Approved
Health & Safety,Sick Leave,1,6,0,1,28,36,80.8,Rejected
Health & Safety,Sick Leave,3,6,1,3,41,192,91.1,Rejected
Health & Safety,Sick Leave,1,6,3,4,40,144,89.8,Approved
Health & Safety,Sick Leave,1,6,4,3,41,192,85.2,Approved
Health & Safety,Sick Leave,1,6,0,6,38,216,89.4,Approved
Health & Safety,Sick Leave,1,6,0,8,34,168,89.0,Approved
Health & Safety,Sick Leave,1,6,0,4,41,192,78.7,Approved
Health & Safety,Sick Leave,1,6,2,2,50,216,90.8,Approved
Health & Safety,Sick Leave,2,6,4,0,37,168,99.8,Approved
Health & Safety,Sick Leave,1,6,1,3,50,216,93.9,Approved
Health & Safety,Sick Leave,10,6,2,4,50,216,84.6,Rejected
Health & Safety,Sick Leave,1,6,3,1,36,132,86.3,Rejected
Health & Safety,Sick Leave,1,6,4,7,38,216,98.1,Approved
Health & Safety,Sick Leave,1,6,0,0,49,348,86.8,Approved
Health & Safety,Sick Leave,1,6,3,14,28,108,81.8,Approved
Administration,Casual Leave,2,7,1,9,34,168,87.9,Approved
Health & Safety,Sick Leave,1,7,2,4,50,216,88.0,Rejected
Health & Safety,Sick Leave,1,7,4,7,37,120,85.8,Rejected
Administration,Casual Leave,1,7,4,7,37,120,82.2,Rejected
Administration,Casual Leave,1,7,1,2,28,48,94.2,Approved
Operations,Annual Leave,1,7,3,3,30,108,86.2,Rejected
Health & Safety,Sick Leave,1,7,4,10,34,168,83.7,Approved
Health & Safety,Sick Leave,1,7,0,3,28,48,93.5,Rejected
Health & Safety,Sick Leave,1,7,1,3,28,48,92.8,Rejected
Health & Safety,Sick Leave,1,7,0,1,29,72,81.2,Approved
Health & Safety,Sick Leave,1,7,1,1,28,36,95.6,Approved
Administration,Casual Leave,1,7,2,8,33,156,76.3,Approved
Administration,Casual Leave,1,7,3,8,38,216,97.0,Approved
Administration,Casual Leave,4,7,0,9,33,156,99.0,Rejected
Administration,Casual Leave,1,7,3,9,33,156,86.0,Approved
Administration,Casual Leave,1,7,3,6,36,132,91.2,Rejected
Administration,Casual Leave,1,8,4,10,33,156,93.3,Approved
Administration,Casual Leave,1,8,4,2,29,72,91.7,Rejected
Health & Safety,Sick Leave,1,8,0,11,33,156,88.7,Rejected
Operations,Annual Leave,1,8,1,0,58,192,85.8,Approved
Health & Safety,Sick Leave,1,8,3,0,43,156,84.7,Approved
Health & Safety,Sick Leave,1,8,3,1,43,156,88.5,Approved
Health & Safety,Sick Leave,1,8,4,6,36,132,80.8,Approved
Health & Safety,Sick Leave,1,8,1,11,33,156,91.0,Approved
Health & Safety,Sick Leave,1,8,2,2,47,168,100.0,Rejected
Health & Safety,Sick Leave,1,8,3,0,33,96,79.2,Approved
Health & Safety,Sick Leave,1,8,3,3,30,108,88.2,Approved
Health & Safety,Sick Leave,1,8,3,4,50,216,87.3,Approved
Health & Safety,Sick Leave,1,8,0,2,47,168,100.0,Approved
Health & Safety,Sick Leave,1,8,1,1,37,168,83.4,Approved
Health & Safety,Sick Leave,1,8,3,5,50,216,90.7,Approved
Administration,Casual Leave,1,8,3,2,37,168,89.9,Approved
Health & Safety,Sick Leave,1,8,1,2,28,36,83.1,Approved
Health & Safety,Sick Leave,1,8,2,3,27,84,86.4,Approved
Health & Safety,Sick Leave,1,9,0,9,38,216,98.6,Rejected
Health & Safety,Sick Leave,1,9,4,9,38,216,81.7,Rejected
Administration,Casual Leave,3,9,2,12,33,156,88.8,Approved
Administration,Casual Leave,1,9,3,1,43,156,86.1,Rejected
Health & Safety,Sick Leave,2,9,0,5,41,192,82.1,Approved
Health & Safety,Sick Leave,1,9,1,5,40,144,85.5,Approved
Administration,Casual Leave,1,9,1,0,39,168,84.2,Rejected
Administration,Casual Leave,1,9,1,1,32,144,87.6,Rejected
Health & Safety,Sick Leave,1,9,2,9,38,216,83.2,Approved
Health & Safety,Sick Leave,4,9,2,6,41,192,89.0,Approved
Health & Safety,Sick Leave,1,9,3,10,38,216,85.0,Approved
Health & Safety,Sick Leave,1,9,4,6,40,144,90.1,Approved
Health & Safety,Sick Leave,1,9,4,7,36,132,76.6,Rejected
Administration,Casual Leave,1,9,2,1,43,156,85.5,Approved
Health & Safety,Sick Leave,1,9,3,6,50,216,78.7,Approved
Administration,Casual Leave,1,9,3,2,43,156,93.3,Rejected
Health & Safety,Sick Leave,1,9,4,7,40,144,85.9,Approved
Health & Safety,Sick Leave,5,9,0,8,40,144,82.0,Approved
Health & Safety,Sick Leave,1,9,0,11,38,216,79.0,Approved
Operations,Annual Leave,1,10,0,13,33,156,86.3,Approved
Administration,Casual Leave,1,10,0,3,37,168,84.5,Rejected
Administration,Casual Leave,1,10,0,14,33,156,78.8,Approved
Health & Safety,Sick Leave,1,10,4,15,33,156,93.3,Rejected
Administration,Casual Leave,1,10,4,7,50,216,83.2,Rejected
Administration,Casual Leave,1,10,4,3,47,168,85.7,Rejected
Health & Safety,Sick Leave,1,10,0,4,30,108,92.8,Approved
Health & Safety,Sick Leave,1,10,0,7,37,120,88.5,Rejected
Health & Safety,Sick Leave,1,10,0,0,31,144,95.7,Approved
Health & Safety,Sick Leave,1,10,2,12,38,216,89.6,Rejected
Health & Safety,Sick Leave,8,10,2,5,30,108,90.7,Approved
Administration,Casual Leave,1,10,2,2,43,156,89.4,Rejected
Administration,Casual Leave,2,10,3,15,33,156,89.3,Approved
Health & Safety,Sick Leave,1,10,4,7,36,132,93.2,Approved
Administration,Casual Leave,1,10,4,2,43,156,98.2,Rejected
Health & Safety,Sick Leave,1,10,0,2,43,156,90.5,Approved
Health & Safety,Sick Leave,1,10,1,7,50,216,92.3,Approved
Health & Safety,Sick Leave,1,10,1,9,40,144,89.7,Approved
Health & Safety,Sick Leave,2,10,3,6,30,108,100.0,Approved
Health & Safety,Sick Leave,1,10,3,8,50,216,87.6,Approved
Health & Safety,Sick Leave,1,10,0,3,28,36,82.3,Approved
Administration,Casual Leave,1,10,1,8,36,132,83.4,Rejected
Administration,Casual Leave,1,10,1,10,40,144,82.1,Rejected
Administration,Casual Leave,1,10,1,2,29,72,90.3,Rejected
Health & Safety,Sick Leave,1,10,2,7,30,108,89.1,Approved
Health & Safety,Sick Leave,1,10,2,8,30,108,82.4,Rejected
Health & Safety,Sick Leave,1,10,3,9,50,216,87.2,Approved
Health & Safety,Sick Leave,1,11,0,7,37,120,99.5,Approved
Health & Safety,Sick Leave,1,11,0,3,47,168,85.7,Approved
Health & Safety,Sick Leave,1,11,1,12,38,216,87.0,Approved
Health & Safety,Sick Leave,1,11,4,8,36,132,85.5,Approved
Health & Safety,Sick Leave,1,11,0,10,40,144,93.5,Approved
Health & Safety,Sick Leave,1,11,0,1,36,132,84.5,Rejected
Health & Safety,Sick Leave,10,11,0,11,34,168,81.2,Rejected
Administration,Casual Leave,1,11,0,3,43,156,87.4,Approved
Administration,Casual Leave,1,11,1,3,28,48,94.2,Rejected
Operations,Annual Leave,1,11,2,3,37,168,99.5,Approved
Health & Safety,Sick Leave,1,11,2,8,37,120,81.5,Approved
Health & Safety,Sick Leave,1,11,3,4,37,168,88.7,Rejected
Health & Safety,Sick Leave,1,11,3,13,38,216,82.8,Approved
Health & Safety,Sick Leave,1,11,4,7,41,192,99.4,Approved
Health & Safety,Sick Leave,1,11,4,11,40,144,83.8,Approved
Health & Safety,Sick Leave,1,11,0,8,41,192,84.0,Approved
Health & Safety,Sick Leave,1,11,1,14,38,216,80.4,Rejected
Health & Safety,Sick Leave,1,11,2,9,36,132,80.1,Approved
Operations,Annual Leave,1,11,4,10,36,132,83.0,Approved
Administration,Casual Leave,1,11,4,1,36,132,91.2,Rejected
Administration,Casual Leave,1,11,1,1,39,168,93.9,Rejected
Health & Safety,Sick Leave,1,11,3,14,38,216,92.7,Rejected
Health & Safety,Sick Leave,1,12,0,15,28,108,82.1,Approved
Health & Safety,Sick Leave,1,12,0,14,38,216,81.8,Approved
Health & Safety,Sick Leave,1,12,0,15,38,216,83.4,Approved
Health & Safety,Sick Leave,1,12,0,4,37,168,87.2,Approved
Health & Safety,Sick Leave,1,12,1,10,50,216,90.3,Rejected
Health & Safety,Sick Leave,1,12,4,11,36,132,86.9,Approved
Health & Safety,Sick Leave,1,12,3,9,41,192,86.2,Approved
Health & Safety,Sick Leave,1,12,3,16,38,216,88.1,Approved
Health & Safety,Sick Leave,1,12,4,17,38,216,82.7,Approved
Health & Safety,Sick Leave,1,12,1,8,30,108,88.2,Approved
Health & Safety,Sick Leave,1,12,1,9,37,120,95.1,Approved
Health & Safety,Sick Leave,1,12,3,5,37,168,84.4,Approved
Health & Safety,Sick Leave,1,12,1,4,43,156,85.4,Approved
Health & Safety,Sick Leave,1,12,1,6,37,168,99.8,Approved
Administration,Casual Leave,1,12,2,12,36,132,100.0,Approved
Health & Safety,Sick Leave,1,12,0,2,29,72,90.8,Approved
Health & Safety,Sick Leave,1,12,0,18,38,216,69.9,Approved
Administration,Casual Leave,1,12,0,16,33,156,84.8,Approved
Health & Safety,Sick Leave,1,1,2,0,28,108,82.2,Approved
Administration,Casual Leave,4,1,0,0,37,120,90.2,Approved
Health & Safety,Sick Leave,1,1,0,0,34,168,95.4,Rejected
Health & Safety,Sick Leave,1,1,1,0,37,168,80.5,Rejected
Health & Safety,Sick Leave,1,1,1,0,34,168,81.9,Rejected
Administration,Casual Leave,1,1,0,0,33,156,88.1,Approved
Health & Safety,Sick Leave,1,1,2,0,40,144,81.3,Approved
Administration,Casual Leave,1,1,0,0,43,156,80.1,Rejected
Administration,Casual Leave,1,1,0,0,50,216,83.0,Approved
Health & Safety,Sick Leave,1,1,2,0,38,216,88.5,Approved
Health & Safety,Sick Leave,1,1,4,1,38,216,86.2,Rejected
Health & Safety,Sick Leave,1,2,1,1,37,120,100.0,Approved
Administration,Casual Leave,1,2,2,1,38,216,89.0,Approved
Health & Safety,Sick Leave,1,2,2,1,28,108,88.1,Approved
Health & Safety,Sick Leave,1,2,4,1,33,156,82.6,Approved
Health & Safety,Sick Leave,1,2,4,0,36,132,83.5,Approved
Health & Safety,Sick Leave,1,2,4,2,38,216,97.2,Rejected
Administration,Casual Leave,1,2,0,2,38,216,96.2,Rejected
Health & Safety,Sick Leave,1,2,3,2,38,216,88.2,Approved
Administration,Casual Leave,1,2,3,0,41,192,96.2,Approved
Administration,Casual Leave,1,2,4,3,38,216,87.4,Approved
Health & Safety,Sick Leave,1,2,0,1,33,156,76.5,Approved
Administration,Casual Leave,1,2,0,4,38,216,94.7,Rejected
Health & Safety,Sick Leave,1,2,1,1,41,192,87.2,Approved
Health & Safety,Sick Leave,1,2,1,1,40,144,88.6,Approved
Health & Safety,Sick Leave,2,2,2,0,29,72,94.7,Approved
Health & Safety,Sick Leave,3,2,4,2,41,192,80.7,Rejected
Operations,Annual Leave,1,3,1,2,37,120,86.3,Rejected
Administration,Casual Leave,2,3,2,2,41,192,93.2,Approved
Health & Safety,Sick Leave,1,3,4,3,41,192,92.7,Approved
Health & Safety,Sick Leave,1,3,4,1,36,132,78.8,Rejected
Health & Safety,Sick Leave,1,3,0,4,38,216,78.2,Approved
Health & Safety,Sick Leave,1,3,0,0,37,168,89.8,Approved
Health & Safety,Sick Leave,1,3,1,3,40,204,83.7,Approved
Health & Safety,Sick Leave,1,3,1,0,36,132,95.9,Rejected
Health & Safety,Sick Leave,2,3,0,5,38,216,80.8,Approved
Health & Safety,Sick Leave,1,3,2,0,28,36,90.2,Approved
Administration,Casual Leave,1,3,2,0,31,144,90.5,Rejected
Operations,Annual Leave,1,3,3,1,37,168,94.3,Approved
Health & Safety,Sick Leave,1,3,4,1,50,216,91.1,Rejected
Health & Safety,Sick Leave,1,3,1,1,50,216,88.6,Approved
Health & Safety,Sick Leave,1,3,2,2,50,216,80.9,Approved
Administration,Casual Leave,1,3,3,2,37,168,90.8,Rejected
Administration,Casual Leave,1,3,3,4,41,192,91.9,Rejected
Administration,Casual Leave,1,3,3,3,50,216,88.8,Rejected
Health & Safety,Sick Leave,1,3,4,6,38,216,93.7,Rejected
Health & Safety,Sick Leave,1,3,4,2,33,156,88.9,Rejected
Administration,Casual Leave,1,3,0,1,36,132,86.9,Rejected
Health & Safety,Sick Leave,1,3,1,4,41,192,85.5,Approved
Health & Safety,Sick Leave,1,4,2,6,38,216,86.7,Approved
Health & Safety,Sick Leave,1,4,4,1,36,132,80.3,Approved
Administration,Casual Leave,1,4,4,0,28,48,91.1,Approved
Health & Safety,Sick Leave,1,4,0,0,31,144,76.1,Approved
Administration,Casual Leave,1,4,0,0,47,168,90.7,Approved
Health & Safety,Sick Leave,1,4,2,1,28,48,88.7,Approved
Health & Safety,Sick Leave,1,4,2,7,38,216,100.0,Approved
Health & Safety,Sick Leave,1,4,0,3,50,216,87.2,Approved
Health & Safety,Sick Leave,10,4,2,4,50,216,86.5,Approved
Health & Safety,Sick Leave,1,4,4,0,43,156,83.0,Approved
Health & Safety,Sick Leave,1,4,4,2,36,132,88.2,Approved
Health & Safety,Sick Leave,1,4,0,8,38,216,79.6,Rejected
Health & Safety,Sick Leave,1,4,2,2,37,120,73.3,Approved
Health & Safety,Sick Leave,2,5,0,0,43,156,93.7,Approved
Health & Safety,Sick Leave,1,5,2,1,47,168,99.2,Approved
Health & Safety,Sick Leave,1,5,0,1,31,144,93.9,Approved
Health & Safety,Sick Leave,1,5,2,0,30,108,90.8,Approved
Health & Safety,Sick Leave,1,5,2,8,38,216,84.6,Approved
Health & Safety,Sick Leave,1,5,3,1,28,36,88.2,Approved
