leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,status
Casual Leave,1,6,6,4,Approved
Sick Leave,1,9,2,8,Approved
Sick Leave,2,1,0,13,Approved
Casual Leave,3,8,5,6,Approved
Annual Leave,14,12,6,1,Rejected
Sick Leave,5,1,2,3,Approved
Sick Leave,3,2,2,5,Approved
Annual Leave,7,11,3,13,Rejected
Casual Leave,3,7,1,14,Approved
Annual Leave,5,2,3,9,Rejected
Annual Leave,7,4,1,4,Rejected
Annual Leave,10,4,6,7,Rejected
Sick Leave,3,1,6,6,Approved
Casual Leave,3,2,4,14,Approved
Sick Leave,3,7,2,0,Approved
Sick Leave,4,5,3,5,Approved
Casual Leave,2,2,5,4,Approved
Sick Leave,2,5,3,13,Approved
Sick Leave,1,11,3,0,Approved
Sick Leave,1,9,1,1,Approved
Sick Leave,2,11,4,7,Approved
Sick Leave,4,6,5,12,Approved
Casual Leave,1,4,6,7,Approved
Casual Leave,1,4,2,6,Approved
Casual Leave,4,11,4,1,Rejected
Casual Leave,5,1,1,6,Rejected
Annual Leave,7,6,6,9,Approved
Annual Leave,14,8,6,10,Rejected
Annual Leave,5,10,4,13,Rejected
Casual Leave,5,5,6,15,Approved
Sick Leave,2,9,5,1,Approved
Sick Leave,1,2,5,4,Approved
Annual Leave,3,9,3,0,Rejected
Sick Leave,1,9,1,7,Approved
Annual Leave,5,4,5,7,Approved
Annual Leave,10,8,0,0,Rejected
Sick Leave,1,12,4,15,Rejected
Annual Leave,14,3,6,12,Rejected
Annual Leave,7,3,6,2,Approved
Annual Leave,3,7,6,10,Rejected
Sick Leave,1,11,4,12,Approved
Annual Leave,5,11,1,12,Approved
Sick Leave,3,3,3,14,Approved
Casual Leave,2,7,0,9,Approved
Casual Leave,1,3,1,8,Approved
Casual Leave,2,5,1,15,Approved
Casual Leave,3,8,2,13,Rejected
Sick Leave,3,7,2,9,Approved
Sick Leave,3,10,1,5,Approved
Annual Leave,5,8,1,9,Approved
Annual Leave,7,9,6,13,Rejected
Annual Leave,21,10,0,12,Rejected
Annual Leave,7,9,4,7,Rejected
Casual Leave,3,7,0,3,Approved
Casual Leave,1,2,3,14,Rejected
Annual Leave,5,3,4,5,Rejected
Annual Leave,7,10,1,14,Rejected
Annual Leave,5,3,2,10,Rejected
Annual Leave,14,2,2,11,Rejected
Casual Leave,1,2,1,9,Approved
Casual Leave,2,3,3,5,Approved
Casual Leave,5,3,1,12,Rejected
Sick Leave,1,10,0,7,Approved
Sick Leave,4,10,0,8,Approved
Annual Leave,5,11,6,7,Approved
Annual Leave,14,10,5,11,Rejected
Annual Leave,7,6,4,8,Rejected
Sick Leave,5,3,6,13,Approved
Annual Leave,7,7,3,4,Approved
Annual Leave,7,5,5,11,Rejected
Annual Leave,10,6,6,2,Rejected
Annual Leave,10,10,1,15,Rejected
Sick Leave,10,8,3,0,Rejected
Casual Leave,2,5,0,11,Approved
Sick Leave,1,12,0,0,Approved
Casual Leave,1,12,1,15,Rejected
Casual Leave,1,3,5,4,Approved
Casual Leave,4,10,5,14,Approved
Sick Leave,1,5,5,2,Approved
Annual Leave,5,9,1,12,Rejected
Annual Leave,21,10,0,0,Approved
Sick Leave,1,1,4,2,Rejected
Annual Leave,5,7,0,4,Approved
Annual Leave,5,11,5,2,Rejected
Casual Leave,1,10,4,1,Approved
Casual Leave,1,6,4,8,Rejected
Annual Leave,7,2,2,2,Approved
Annual Leave,5,11,5,3,Approved
Sick Leave,3,3,6,1,Approved
Casual Leave,2,5,6,2,Approved
Sick Leave,4,8,6,9,Approved
Casual Leave,2,12,4,7,Approved
Sick Leave,7,9,2,0,Rejected
Casual Leave,3,8,0,4,Rejected
Annual Leave,10,2,4,4,Rejected
Casual Leave,3,6,6,12,Approved
Sick Leave,2,3,0,5,Approved
Sick Leave,4,2,1,9,Approved
Annual Leave,5,1,5,9,Approved
Casual Leave,1,2,6,4,Approved
Annual Leave,14,11,0,8,Rejected
Sick Leave,1,1,3,1,Approved
Casual Leave,1,4,1,8,Approved
Annual Leave,5,8,0,2,Approved
Annual Leave,5,6,3,15,Rejected
Sick Leave,2,5,0,15,Rejected
Annual Leave,7,1,6,7,Approved
Sick Leave,7,12,5,11,Approved
Sick Leave,3,2,0,7,Approved
Sick Leave,4,1,1,4,Approved
Casual Leave,5,5,2,4,Approved
Annual Leave,5,12,4,11,Approved
Annual Leave,5,10,3,1,Rejected
Sick Leave,1,6,5,2,Approved
Sick Leave,1,12,0,11,Approved
Casual Leave,1,7,2,12,Rejected
Casual Leave,5,1,2,8,Approved
Casual Leave,3,10,4,15,Rejected
Sick Leave,3,4,3,8,Approved
Casual Leave,1,2,2,15,Approved
Casual Leave,1,8,5,8,Approved
Casual Leave,3,8,2,7,Approved
Annual Leave,14,4,4,1,Approved
Sick Leave,2,7,6,1,Approved
Sick Leave,2,4,1,1,Approved
Sick Leave,3,7,4,12,Approved
Annual Leave,14,10,4,3,Approved
Casual Leave,1,10,4,15,Approved
Sick Leave,5,1,5,15,Approved
Sick Leave,4,5,5,14,Rejected
Annual Leave,14,8,6,11,Rejected
Sick Leave,4,4,6,6,Approved
Casual Leave,1,11,0,0,Approved
Sick Leave,1,5,0,12,Approved
Annual Leave,14,7,4,0,Rejected
Sick Leave,3,5,4,9,Approved
Casual Leave,2,11,4,12,Rejected
Casual Leave,4,5,5,10,Approved
Sick Leave,3,10,3,10,Approved
Annual Leave,5,12,4,6,Rejected
Sick Leave,1,11,4,5,Approved
Sick Leave,2,6,1,9,Approved
Annual Leave,7,10,4,2,Approved
Sick Leave,2,3,1,10,Approved
Casual Leave,1,6,5,5,Approved
Sick Leave,2,10,3,13,Approved
Annual Leave,10,4,0,0,Rejected
Annual Leave,14,5,1,2,Approved
Casual Leave,1,4,1,12,Rejected
Casual Leave,1,12,5,1,Approved
Sick Leave,2,1,5,3,Approved
Annual Leave,10,2,5,8,Approved
Sick Leave,4,10,1,8,Approved
Annual Leave,3,8,2,7,Rejected
Sick Leave,5,12,5,3,Approved
Sick Leave,2,5,2,10,Approved
Casual Leave,1,10,2,2,Approved
Annual Leave,10,3,0,4,Rejected
Casual Leave,3,3,4,12,Rejected
Casual Leave,2,1,0,8,Rejected
Annual Leave,7,12,4,3,Approved
Sick Leave,5,11,1,15,Approved
Annual Leave,7,4,4,12,Rejected
Sick Leave,1,8,5,0,Approved
Sick Leave,7,11,5,14,Approved
Casual Leave,3,12,5,11,Rejected
Annual Leave,3,9,2,3,Approved
Sick Leave,4,7,1,14,Approved
Annual Leave,21,10,4,4,Rejected
Annual Leave,3,10,1,4,Approved
Casual Leave,1,5,3,4,Approved
Annual Leave,5,9,5,6,Approved
Annual Leave,10,11,2,3,Approved
Sick Leave,2,9,0,0,Approved
Annual Leave,7,5,1,1,Rejected
Annual Leave,14,12,2,1,Rejected
Sick Leave,4,10,6,14,Rejected
Annual Leave,5,4,2,14,Approved
Annual Leave,7,5,1,5,Approved
Sick Leave,2,11,4,9,Approved
Sick Leave,2,9,1,13,Approved
Annual Leave,3,9,3,0,Approved
Casual Leave,1,5,4,9,Approved
Sick Leave,7,6,4,2,Rejected
Annual Leave,14,4,6,13,Rejected
Sick Leave,1,1,3,10,Approved
Casual Leave,2,8,5,12,Rejected
Sick Leave,2,12,6,2,Approved
Casual Leave,2,7,6,0,Approved
Annual Leave,7,11,2,0,Approved
Sick Leave,1,12,5,11,Rejected
Sick Leave,5,3,5,1,Approved
Sick Leave,7,12,4,15,Rejected
Casual Leave,2,8,2,9,Approved
Sick Leave,1,12,5,13,Rejected
Casual Leave,2,9,0,5,Approved
Sick Leave,4,9,5,0,Approved
Casual Leave,1,11,6,4,Approved
Sick Leave,3,7,2,0,Approved
Sick Leave,3,10,4,4,Approved
Sick Leave,2,1,5,6,Approved
Annual Leave,14,11,6,8,Rejected
Annual Leave,7,2,4,8,Approved
Annual Leave,5,3,3,5,Approved
Sick Leave,4,11,1,13,Approved
Sick Leave,3,4,0,4,Approved
Annual Leave,14,7,4,0,Rejected
Sick Leave,4,7,4,4,Approved
Annual Leave,7,2,1,12,Approved
Annual Leave,3,10,0,3,Rejected
Casual Leave,1,1,5,13,Rejected
Sick Leave,5,5,3,7,Approved
Annual Leave,7,1,4,3,Approved
Annual Leave,14,10,2,8,Approved
Casual Leave,1,3,2,15,Approved
Casual Leave,1,12,1,3,Approved
Sick Leave,1,3,3,13,Approved
Annual Leave,14,9,2,1,Rejected
Sick Leave,3,10,4,7,Approved
Casual Leave,2,11,3,12,Rejected
Casual Leave,1,6,6,8,Approved
Sick Leave,2,9,0,9,Approved
Casual Leave,5,4,6,10,Approved
Casual Leave,2,11,6,7,Approved
Sick Leave,1,7,5,10,Approved
Sick Leave,1,8,5,6,Approved
Sick Leave,3,2,5,15,Approved
Casual Leave,1,8,1,8,Approved
Casual Leave,2,7,6,5,Approved
Sick Leave,1,6,2,8,Approved
Sick Leave,2,7,5,11,Approved
Casual Leave,4,4,4,13,Rejected
Casual Leave,3,3,6,10,Rejected
Sick Leave,2,5,3,3,Approved
Casual Leave,2,11,4,6,Approved
Sick Leave,2,7,4,9,Approved
Sick Leave,2,3,2,7,Approved
Annual Leave,5,8,3,5,Rejected
Casual Leave,4,2,0,2,Approved
Annual Leave,5,7,2,7,Rejected
Casual Leave,2,8,6,8,Rejected
Annual Leave,14,7,4,9,Approved
Sick Leave,2,5,0,0,Approved
Casual Leave,3,1,6,13,Rejected
Casual Leave,3,4,1,12,Approved
Annual Leave,7,9,6,8,Approved
Casual Leave,1,12,4,15,Approved
Sick Leave,1,12,3,0,Approved
Annual Leave,14,1,2,2,Approved
Casual Leave,1,7,6,0,Approved
Annual Leave,7,2,4,6,Approved
Casual Leave,1,11,2,6,Rejected
Sick Leave,2,5,4,3,Approved
Sick Leave,3,3,3,2,Rejected
Annual Leave,3,9,6,3,Rejected
Casual Leave,1,6,5,4,Rejected
Sick Leave,3,9,2,10,Approved
Casual Leave,2,5,4,11,Approved
Casual Leave,1,12,0,12,Rejected
Sick Leave,1,2,4,2,Approved
Sick Leave,3,10,5,12,Approved
Sick Leave,2,11,3,2,Approved
Annual Leave,14,1,5,2,Rejected
Sick Leave,3,9,5,7,Approved
Casual Leave,4,12,5,13,Approved
Casual Leave,3,6,2,10,Approved
Annual Leave,21,12,2,11,Rejected
Casual Leave,1,1,2,7,Rejected
Annual Leave,7,3,0,1,Approved
Annual Leave,10,7,4,6,Rejected
Annual Leave,3,5,0,12,Rejected
Annual Leave,3,1,5,12,Approved
Sick Leave,7,11,5,12,Approved
Sick Leave,3,6,0,15,Approved
Casual Leave,1,9,1,15,Approved
Casual Leave,1,11,4,2,Approved
Casual Leave,2,10,6,14,Rejected
Sick Leave,7,12,0,7,Rejected
Casual Leave,3,1,2,6,Approved
Casual Leave,1,10,5,1,Approved
Sick Leave,3,7,5,8,Approved
Annual Leave,7,12,0,10,Approved
Annual Leave,7,5,2,15,Rejected
Casual Leave,4,1,5,8,Approved
Annual Leave,7,3,0,12,Rejected
Casual Leave,2,10,2,14,Approved
Casual Leave,1,3,5,5,Rejected
Casual Leave,3,7,2,14,Rejected
Sick Leave,3,1,6,8,Approved
Sick Leave,3,9,6,15,Rejected
Sick Leave,5,7,6,0,Approved
Annual Leave,14,8,5,10,Rejected
Annual Leave,7,10,4,1,Rejected
Annual Leave,5,7,4,1,Rejected
Sick Leave,2,12,4,4,Approved
Casual Leave,1,6,3,0,Approved
Annual Leave,10,12,6,5,Approved
Annual Leave,3,3,3,12,Approved
Sick Leave,3,7,2,9,Approved
Casual Leave,4,1,3,15,Approved
Casual Leave,1,2,4,0,Approved
Annual Leave,14,6,0,4,Rejected
Sick Leave,3,3,5,9,Approved
Casual Leave,3,6,2,12,Rejected
Casual Leave,2,6,4,13,Rejected
Casual Leave,4,5,4,11,Approved
Annual Leave,3,5,1,0,Approved
Casual Leave,1,6,4,6,Approved
Sick Leave,2,2,5,10,Approved
Casual Leave,2,8,6,1,Approved
Casual Leave,2,10,5,10,Rejected
Casual Leave,2,7,5,5,Approved
Sick Leave,2,8,1,11,Approved
Sick Leave,4,8,4,0,Approved
Sick Leave,1,2,6,4,Approved
Annual Leave,14,2,2,14,Rejected
Sick Leave,1,6,1,6,Approved
Sick Leave,1,1,4,3,Approved
Casual Leave,1,10,2,14,Rejected
Casual Leave,2,3,5,14,Rejected
Annual Leave,5,8,0,14,Rejected
Casual Leave,3,7,1,10,Approved
Casual Leave,2,3,2,11,Approved
Casual Leave,2,9,3,12,Approved
Annual Leave,7,10,3,13,Rejected
Annual Leave,7,10,3,10,Approved
Casual Leave,1,11,5,1,Approved
Casual Leave,1,7,4,14,Approved
Sick Leave,4,10,4,12,Approved
Casual Leave,3,1,1,13,Approved
Annual Leave,5,3,3,4,Rejected
Sick Leave,3,11,0,4,Approved
Annual Leave,7,7,4,5,Rejected
Sick Leave,3,10,3,7,Approved
Casual Leave,5,2,4,15,Rejected
Annual Leave,10,2,1,15,Rejected
Sick Leave,3,8,3,15,Approved
Casual Leave,2,1,5,15,Rejected
Annual Leave,5,2,6,8,Approved
Annual Leave,7,3,5,14,Rejected
Sick Leave,4,3,4,4,Approved
Sick Leave,1,10,5,11,Approved
Casual Leave,1,12,6,7,Approved
Annual Leave,3,6,4,1,Approved
Casual Leave,2,11,4,12,Approved
Annual Leave,14,1,5,0,Approved
Sick Leave,1,1,0,2,Approved
Sick Leave,5,7,5,5,Approved
Annual Leave,5,11,6,10,Approved
Casual Leave,2,3,3,2,Approved
Sick Leave,5,10,5,3,Approved
Casual Leave,4,3,5,0,Approved
Annual Leave,7,8,3,13,Rejected
Annual Leave,10,9,2,10,Rejected
Casual Leave,1,5,5,6,Approved
Annual Leave,14,6,3,2,Approved
Sick Leave,2,9,5,9,Approved
Sick Leave,4,7,0,6,Approved
Annual Leave,7,3,3,0,Approved
Casual Leave,3,2,3,5,Rejected
Casual Leave,1,6,6,12,Approved
Sick Leave,4,2,2,4,Approved
Annual Leave,3,10,3,5,Approved
Casual Leave,1,12,1,6,Approved
Casual Leave,1,10,0,9,Approved
Sick Leave,1,8,6,6,Approved
Sick Leave,1,1,5,11,Approved
Sick Leave,1,1,3,3,Approved
Casual Leave,1,4,6,3,Approved
Casual Leave,1,1,3,4,Approved
Casual Leave,1,4,2,4,Approved
Sick Leave,4,5,4,5,Approved
Sick Leave,1,10,3,14,Approved
Annual Leave,7,3,4,0,Rejected
Annual Leave,5,2,3,15,Approved
Sick Leave,2,11,0,0,Approved
Casual Leave,2,3,6,11,Approved
Casual Leave,2,7,6,8,Approved
Annual Leave,7,6,0,3,Approved
Annual Leave,5,4,1,10,Approved
Casual Leave,1,9,5,13,Approved
Casual Leave,1,10,2,2,Approved
Casual Leave,2,2,5,4,Approved
Casual Leave,3,6,3,14,Approved
Casual Leave,2,11,5,10,Approved
Casual Leave,1,3,6,8,Approved
Annual Leave,5,3,5,9,Rejected
Casual Leave,1,10,1,14,Rejected
Annual Leave,3,3,4,9,Rejected
Annual Leave,7,6,5,9,Rejected
Sick Leave,1,12,3,1,Approved
Sick Leave,3,10,5,6,Rejected
Annual Leave,5,11,0,12,Rejected
Casual Leave,1,6,0,9,Approved
Casual Leave,3,3,6,13,Rejected
Annual Leave,3,6,0,12,Rejected
Sick Leave,1,3,6,12,Rejected
Sick Leave,2,1,1,8,Approved
Annual Leave,10,4,0,3,Rejected
Casual Leave,5,11,5,15,Approved
Sick Leave,2,6,3,4,Approved
Annual Leave,10,2,4,6,Approved
Annual Leave,7,12,2,3,Approved
Sick Leave,2,2,1,4,Approved
Sick Leave,2,1,3,11,Rejected
Sick Leave,3,3,6,4,Approved
Casual Leave,1,7,0,6,Approved
Casual Leave,3,11,0,3,Approved
Sick Leave,2,12,2,11,Rejected
Annual Leave,10,1,4,6,Approved
Annual Leave,7,8,2,5,Approved
Casual Leave,1,2,6,10,Approved
Casual Leave,2,2,3,9,Approved
Sick Leave,7,2,6,15,Approved
Annual Leave,3,11,5,2,Approved
Sick Leave,1,10,6,12,Approved
Annual Leave,7,10,3,15,Rejected
Sick Leave,4,1,0,1,Approved
Annual Leave,10,10,0,2,Rejected
Casual Leave,5,9,2,0,Approved
Casual Leave,2,1,0,5,Approved
Annual Leave,7,7,3,3,Rejected
Sick Leave,3,7,2,15,Approved
Sick Leave,4,6,2,0,Approved
Annual Leave,10,4,1,7,Rejected
Annual Leave,10,6,0,14,Rejected
Casual Leave,1,7,4,12,Approved
Casual Leave,1,3,4,9,Approved
Annual Leave,10,7,6,7,Rejected
Annual Leave,5,9,3,13,Rejected
Casual Leave,2,7,2,14,Rejected
Annual Leave,14,8,2,13,Approved
Annual Leave,14,11,6,9,Rejected
Sick Leave,2,5,5,7,Approved
Casual Leave,1,11,0,6,Approved
Sick Leave,5,2,2,9,Approved
Annual Leave,7,12,4,3,Rejected
Sick Leave,4,6,2,12,Rejected
Casual Leave,2,7,2,1,Rejected
Casual Leave,3,8,5,11,Rejected
Annual Leave,14,7,2,11,Rejected
Casual Leave,1,2,6,7,Approved
Sick Leave,5,8,3,13,Approved
Casual Leave,2,7,4,10,Approved
Sick Leave,2,7,1,9,Approved
Casual Leave,1,12,1,8,Approved
Casual Leave,1,7,6,7,Approved
Annual Leave,10,3,0,12,Rejected
Annual Leave,14,7,6,14,Rejected
Sick Leave,3,7,6,6,Approved
Sick Leave,3,5,2,7,Approved
Casual Leave,3,12,3,6,Rejected
Casual Leave,5,4,3,11,Rejected
Casual Leave,1,5,3,11,Approved
Casual Leave,3,3,0,10,Approved
Casual Leave,2,5,2,8,Approved
Sick Leave,1,4,1,1,Approved
Casual Leave,2,6,5,15,Rejected
Sick Leave,3,3,5,8,Approved
Annual Leave,5,2,2,0,Approved
Casual Leave,2,12,5,15,Rejected
Sick Leave,4,4,6,1,Approved
Casual Leave,1,3,1,12,Approved
Casual Leave,4,7,5,9,Approved
Casual Leave,1,8,2,13,Approved
Annual Leave,10,6,3,7,Rejected
Casual Leave,2,5,1,4,Approved
Sick Leave,2,9,0,13,Rejected
Sick Leave,1,2,5,14,Approved
Annual Leave,10,8,6,14,Rejected
Casual Leave,2,11,0,13,Approved
Casual Leave,2,10,6,11,Approved
Sick Leave,5,1,5,6,Rejected
Casual Leave,2,8,1,15,Rejected
Annual Leave,7,4,1,9,Approved
Annual Leave,3,10,4,9,Approved
Casual Leave,1,10,2,2,Approved
Casual Leave,3,1,1,9,Approved
Annual Leave,10,8,1,9,Approved
Casual Leave,2,12,5,2,Approved
Sick Leave,10,4,4,1,Approved
Casual Leave,1,7,0,7,Approved
Annual Leave,10,9,4,3,Approved
Sick Leave,5,3,5,3,Approved
Annual Leave,3,6,2,4,Rejected
Sick Leave,3,2,2,11,Approved
Casual Leave,5,7,3,14,Rejected
Casual Leave,2,6,3,5,Approved
Casual Leave,3,7,5,9,Approved
Sick Leave,3,9,4,14,Approved
Casual Leave,2,7,5,4,Approved
Sick Leave,1,1,6,8,Approved
Annual Leave,3,9,2,3,Approved
Annual Leave,7,12,5,7,Rejected
Sick Leave,4,6,4,6,Approved
Casual Leave,2,3,3,6,Approved
Casual Leave,3,12,3,13,Approved
Annual Leave,3,4,3,15,Rejected
Casual Leave,1,1,4,4,Approved
Casual Leave,1,1,2,9,Approved
Annual Leave,14,5,4,14,Rejected
Casual Leave,4,11,3,4,Approved
Annual Leave,10,1,5,14,Rejected
Sick Leave,1,11,4,2,Approved
Annual Leave,5,9,1,0,Rejected
Casual Leave,4,10,0,15,Rejected
Sick Leave,1,2,0,5,Approved
Casual Leave,1,3,0,1,Approved
Sick Leave,2,10,4,7,Approved
Casual Leave,2,2,3,0,Approved
Casual Leave,1,10,3,14,Approved
Casual Leave,1,9,3,1,Approved
Annual Leave,21,5,6,12,Approved
Annual Leave,7,2,2,2,Approved
Casual Leave,5,11,2,8,Approved
Casual Leave,2,1,5,4,Approved
Annual Leave,7,2,6,2,Rejected
Casual Leave,1,3,6,0,Approved
Annual Leave,14,6,1,2,Rejected
Casual Leave,1,12,5,6,Approved
Annual Leave,3,4,5,5,Approved
Sick Leave,3,12,5,8,Approved
Sick Leave,2,11,4,14,Approved
Casual Leave,1,6,0,12,Rejected
Sick Leave,1,3,2,9,Approved
Sick Leave,4,8,1,10,Approved
Casual Leave,5,10,0,2,Approved
Casual Leave,1,10,5,13,Approved
Annual Leave,7,11,4,0,Approved
Casual Leave,1,10,1,3,Approved
Casual Leave,1,8,5,14,Approved
Casual Leave,1,5,4,4,Approved
Annual Leave,7,9,6,1,Approved
Annual Leave,14,12,3,10,Approved
Sick Leave,3,8,1,0,Approved
Casual Leave,1,3,6,0,Approved
Annual Leave,5,6,0,0,Approved
Sick Leave,5,1,1,8,Approved
Sick Leave,3,6,6,11,Rejected
Sick Leave,3,4,1,12,Approved
Casual Leave,1,3,2,7,Approved
Annual Leave,7,10,0,5,Rejected
Casual Leave,3,12,2,15,Approved
Sick Leave,2,7,1,9,Approved
Casual Leave,1,8,4,11,Rejected
Casual Leave,1,8,2,8,Approved
Annual Leave,10,9,5,2,Approved
Sick Leave,2,11,2,8,Approved
Sick Leave,4,5,2,11,Approved
Sick Leave,2,4,5,6,Approved
Casual Leave,2,12,3,6,Approved
Casual Leave,2,6,1,13,Rejected
Sick Leave,10,3,2,12,Rejected
Annual Leave,3,8,5,9,Rejected
